Day of date,Avg. price
"July 1, 2014",549186.816513761
"July 2, 2014",529276.325581395
"July 3, 2014",552141.043478261
"July 4, 2014",612500
"July 5, 2014",730900
"July 6, 2014",766666.666666667
"July 7, 2014",522288.036585366
"July 8, 2014",509379.504065041
"July 9, 2014",525070.576271186
"July 10, 2014",520753.848837209
"July 11, 2014",473448.379746835
"July 12, 2014",451883.333333333
"July 13, 2014",388000
"July 14, 2014",556682.705357143
"July 15, 2014",491968.900990099
"July 16, 2014",479169.486486487
"July 17, 2014",491098.418604651
"July 18, 2014",482117.02020202
"July 19, 2014",427040
"July 20, 2014",649867.142857143
"July 21, 2014",478173.104166667
"July 22, 2014",474380.20952381
"July 23, 2014",514546.336448598
"July 24, 2014",494896.923913043
"July 25, 2014",501612.041237113
"July 26, 2014",436187.5
"July 27, 2014",286308
"July 28, 2014",517754.903225806
"July 29, 2014",504925.981651376
"July 30, 2014",551800.918918919
"July 31, 2014",480135.543209877
